Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
web,web_12_trace,61.48514461517334,Pass,117.36138439178467,15000009,9548107,1.5710,2254326,75648,0.2361,0.0079,3.3557%,5.0432,2399070,31.7136,159.9379,8000009,4321672,1.8511,1175254,40001,0.2719,0.0093,3.4036%,5.0001,1190110,29.7520,148.7636
web,web_21_trace,37.0328950881958,Pass,121.15535998344421,15000054,6135691,2.4447,2614946,33488,0.4262,0.0055,1.2806%,2.2325,2267421,67.7085,151.1609,8000054,4911813,1.6287,1411368,26691,0.2873,0.0054,1.8911%,3.3364,2040114,76.4345,255.0125
web,web_1_trace,158.93916416168213,Pass,387.0903580188751,39999048,12410099,3.2231,5515292,152679,0.4444,0.0123,2.7683%,3.8171,4914040,32.1854,122.8539,20999048,5089630,4.1258,2909408,76232,0.5716,0.0150,2.6202%,3.6303,2067122,27.1162,98.4388
web,web_24_trace,80.5669527053833,Pass,143.2413101196289,14999923,8641104,1.7359,1985890,40958,0.2298,0.0047,2.0625%,2.7305,1151244,28.1079,76.7500,7999923,4041695,1.9793,1067447,14942,0.2641,0.0037,1.3998%,1.8678,423023,28.3110,52.8784
web,web_10_trace,67.32332420349121,Pass,190.8355062007904,19999796,11436219,1.7488,2621960,76376,0.2293,0.0067,2.9129%,3.8188,2254718,29.5213,112.7370,10999796,3369090,3.2649,1436395,28504,0.4263,0.0085,1.9844%,2.5913,756629,26.5447,68.7857
web,web_2_trace,126.7424545288086,Pass,398.47876381874084,39999746,12414024,3.2221,5842811,179692,0.4707,0.0145,3.0754%,4.4923,4817262,26.8084,120.4323,20999746,5941148,3.5346,3176039,93157,0.5346,0.0157,2.9331%,4.4361,2691316,28.8901,128.1595
web,web_9_trace,113.31267833709717,Pass,342.1132709980011,39999863,14493774,2.7598,6952037,130955,0.4797,0.0090,1.8837%,3.2739,3103904,23.7021,77.5979,20999863,4412084,4.7596,4136031,3301,0.9374,0.0007,0.0798%,0.1572,63078,19.1088,3.0037
web,web_7_trace,41.589111328125,Pass,246.44287514686584,39999850,10525367,3.8003,6633962,314488,0.6303,0.0299,4.7406%,7.8622,5802109,18.4494,145.0533,20999850,5092925,4.1233,3471337,150924,0.6816,0.0296,4.3477%,7.1869,2593710,17.1855,123.5109
fp,fp_11_trace,297.7953281402588,Pass,526.5477070808411,40000016,7628895,5.2432,3526510,28697,0.4623,0.0038,0.8138%,0.7174,628407,21.8980,15.7102,20000016,3683209,5.4301,1776440,13781,0.4823,0.0037,0.7758%,0.6890,298589,21.6667,14.9294
fp,fp_3_trace,223.02585411071777,Pass,402.45495319366455,30000052,12797426,2.3442,1539997,61419,0.1203,0.0048,3.9883%,2.0473,6731733,109.6034,224.3907,15000052,6385992,2.3489,770204,31267,0.1206,0.0049,4.0596%,2.0845,3397615,108.6646,226.5069
fp,fp_6_trace,63.58891201019287,Pass,357.4534149169922,40000016,5865100,6.8200,7034423,41550,1.1994,0.0071,0.5907%,1.0387,1537062,36.9931,38.4265,20000016,2839410,7.0437,3515104,19066,1.2380,0.0067,0.5424%,0.9533,713474,37.4213,35.6737
fp,fp_7_trace,159.0718936920166,Pass,420.5913202762604,40000016,7929520,5.0444,4716883,46988,0.5949,0.0059,0.9962%,1.1747,1992701,42.4087,49.8175,20000016,3730656,5.3610,2394520,19542,0.6418,0.0052,0.8161%,0.9771,839003,42.9333,41.9501
fp,fp_9_trace,143.53112411499023,Pass,414.1522595882416,40000016,16738820,2.3897,5012816,183430,0.2995,0.0110,3.6592%,4.5857,11957476,65.1882,298.9368,20000016,8030721,2.4904,2500178,98260,0.3113,0.0122,3.9301%,4.9130,5720124,58.2142,286.0060
fp,fp_2_trace,113.98153591156006,Pass,317.1514391899109,30000052,6221489,4.8220,2471756,77344,0.3973,0.0124,3.1291%,2.5781,2703894,34.9593,90.1296,15000052,3068280,4.8887,1232306,39243,0.4016,0.0128,3.1845%,2.6162,1355988,34.5536,90.3989
fp,fp_5_trace,332.9483413696289,Pass,520.356737613678,40000016,7568443,5.2851,740391,37459,0.0978,0.0049,5.0594%,0.9365,1284940,34.3026,32.1235,20000016,3750208,5.3330,370890,18638,0.0989,0.0050,5.0252%,0.9319,642128,34.4526,32.1064
fp,fp_12_trace,48.495734214782715,Pass,369.1739547252655,40000016,8115165,4.9290,4420257,48722,0.5447,0.0060,1.1022%,1.2180,3004649,61.6692,75.1162,20000016,3934981,5.0826,2222665,21537,0.5648,0.0055,0.9690%,1.0768,1337911,62.1215,66.8955
fp,fp_10_trace,270.7881956100464,Pass,484.15437507629395,40000016,6923231,5.7777,3492402,85811,0.5044,0.0124,2.4571%,2.1453,1873796,21.8363,46.8449,20000016,3395964,5.8893,1748758,40745,0.5150,0.0120,2.3299%,2.0372,894612,21.9564,44.7306
