Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
web,web_12_trace,61.48514461517334,Pass,122.05898547172546,15000009,9376108,1.5998,2254326,68102,0.2404,0.0073,3.0209%,4.5401,2223424,32.6484,148.2282,8000009,4324705,1.8498,1175254,40140,0.2718,0.0093,3.4154%,5.0175,1196000,29.7957,149.4998
web,web_21_trace,37.0328950881958,Pass,120.49866127967834,15000054,6015449,2.4936,2614946,28117,0.4347,0.0047,1.0752%,1.8745,2169688,77.1664,144.6453,8000054,4789090,1.6705,1411368,21322,0.2947,0.0045,1.5107%,2.6652,1942498,91.1030,242.8106
web,web_1_trace,158.93916416168213,Pass,376.1559190750122,39999048,12237978,3.2684,5515292,143564,0.4507,0.0117,2.6030%,3.5892,4727015,32.9262,118.1782,20999048,5084293,4.1302,2909408,75954,0.5722,0.0149,2.6106%,3.6170,2065235,27.1906,98.3490
web,web_24_trace,80.5669527053833,Pass,123.03779673576355,14999923,8476605,1.7696,1985890,32512,0.2343,0.0038,1.6372%,2.1675,977168,30.0556,65.1449,7999923,4037390,1.9815,1067447,14814,0.2644,0.0037,1.3878%,1.8518,422243,28.5030,52.7809
web,web_10_trace,67.32332420349121,Pass,168.456374168396,19999796,11289538,1.7715,2621960,69151,0.2322,0.0061,2.6374%,3.4576,2102080,30.3984,105.1051,10999796,3368044,3.2659,1436395,28699,0.4265,0.0085,1.9980%,2.6090,756962,26.3759,68.8160
web,web_2_trace,126.7424545288086,Pass,351.7828915119171,39999746,12241285,3.2676,5842811,170081,0.4773,0.0139,2.9109%,4.2521,4635952,27.2573,115.8995,20999746,5944589,3.5326,3176039,93739,0.5343,0.0158,2.9514%,4.4638,2694143,28.7409,128.2941
web,web_9_trace,113.31267833709717,Pass,394.9360046386719,39999863,14296834,2.7978,6952037,121041,0.4863,0.0085,1.7411%,3.0260,2918612,24.1126,72.9655,20999863,4413899,4.7577,4136031,4743,0.9370,0.0011,0.1147%,0.2259,86083,18.1495,4.0992
web,web_7_trace,41.589111328125,Pass,245.51086473464966,39999850,10457125,3.8251,6633962,311040,0.6344,0.0297,4.6886%,7.7760,5731989,18.4285,143.3003,20999850,5025562,4.1786,3471337,147043,0.6907,0.0293,4.2359%,7.0021,2521692,17.1494,120.0814
fp,fp_11_trace,297.7953281402588,Pass,562.6041204929352,40000016,7641847,5.2343,3526510,30498,0.4615,0.0040,0.8648%,0.7624,651141,21.3503,16.2785,20000016,3688668,5.4220,1776440,14378,0.4816,0.0039,0.8094%,0.7189,304789,21.1983,15.2394
fp,fp_3_trace,223.02585411071777,Pass,371.11851382255554,30000052,12821157,2.3399,1539997,62519,0.1201,0.0049,4.0597%,2.0840,6826967,109.1983,227.5652,15000052,6390277,2.3473,770204,31518,0.1205,0.0049,4.0922%,2.1012,3425747,108.6918,228.3823
fp,fp_6_trace,63.58891201019287,Pass,352.3758223056793,40000016,5906371,6.7724,7034423,44279,1.1910,0.0075,0.6295%,1.1070,1580559,35.6955,39.5140,20000016,2862962,6.9858,3515104,20320,1.2278,0.0071,0.5781%,1.0160,738234,36.3304,36.9117
fp,fp_7_trace,159.0718936920166,Pass,440.0554459095001,40000016,7926743,5.0462,4716883,47067,0.5951,0.0059,0.9978%,1.1767,1982293,42.1164,49.5573,20000016,3733344,5.3571,2394520,19879,0.6414,0.0053,0.8302%,0.9939,845165,42.5155,42.2582
fp,fp_9_trace,143.53112411499023,Pass,413.9035677909851,40000016,16777704,2.3841,5012816,184717,0.2988,0.0110,3.6849%,4.6179,12004491,64.9886,300.1122,20000016,8060980,2.4811,2500178,99332,0.3102,0.0123,3.9730%,4.9666,5757771,57.9649,287.8883
fp,fp_2_trace,113.98153591156006,Pass,311.01915431022644,30000052,6238641,4.8087,2471756,78576,0.3962,0.0126,3.1790%,2.6192,2726246,34.6957,90.8747,15000052,3072368,4.8822,1232306,39549,0.4011,0.0129,3.2093%,2.6366,1362667,34.4552,90.8442
fp,fp_5_trace,332.9483413696289,Pass,496.44827914237976,40000016,7576523,5.2795,740391,38849,0.0977,0.0051,5.2471%,0.9712,1304658,33.5828,32.6164,20000016,3747397,5.3370,370890,18683,0.0990,0.0050,5.0373%,0.9341,639428,34.2251,31.9714
fp,fp_12_trace,48.495734214782715,Pass,429.4274265766144,40000016,8153731,4.9057,4420257,50691,0.5421,0.0062,1.1468%,1.2673,3076427,60.6898,76.9106,20000016,3948155,5.0657,2222665,22082,0.5630,0.0056,0.9935%,1.1041,1361070,61.6371,68.0534
fp,fp_10_trace,270.7881956100464,Pass,538.7221286296844,40000016,6937238,5.7660,3492402,87078,0.5034,0.0126,2.4934%,2.1769,1887346,21.6742,47.1836,20000016,3401998,5.8789,1748758,41157,0.5140,0.0121,2.3535%,2.0578,899513,21.8557,44.9756
fp,fp_8_trace,211.10272789001465,Pass,448.0793755054474,40000016,13263584,3.0158,2322129,318066,0.1751,0.0240,13.6972%,7.9516,7237049,22.7533,180.9262,20000016,7405896,2.7006,1347173,223327,0.1819,0.0302,16.5775%,11.1663,5016759,22.4637,250.8377
