Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
infra,infra_2_trace,221.61112022399902,Pass,923.9631550312042,47546686,10647501,4.4655,5818731,23668,0.5465,0.0022,0.4068%,0.4978,729426,30.8191,15.3413,24546686,4327411,5.6724,2997214,8002,0.6926,0.0018,0.2670%,0.3260,154542,19.3129,6.2958
infra,infra_15_trace,101.22027969360352,Pass,552.9654271602631,50000052,34432438,1.4521,6957507,423149,0.2021,0.0123,6.0819%,8.4630,29909588,70.6833,598.1911,25000052,6407930,3.9014,3466846,147086,0.5410,0.0230,4.2426%,5.8834,4130710,28.0836,165.2281
infra,infra_6_trace,168.09687328338623,Pass,718.0311191082001,64718349,15420235,4.1970,9187928,83239,0.5958,0.0054,0.9060%,1.2862,3192067,38.3482,49.3224,32718349,7742990,4.2255,5004718,39692,0.6464,0.0051,0.7931%,1.2131,1807111,45.5283,55.2323
infra,infra_0_trace,94.09143447875977,Pass,593.3064692020416,40000016,8840314,4.5247,5140781,50726,0.5815,0.0057,0.9867%,1.2681,1480794,29.1920,37.0198,20000016,4397633,4.5479,2582400,26175,0.5872,0.0060,1.0136%,1.3087,790215,30.1897,39.5107
infra,infra_8_trace,54.09443473815918,Fail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
infra,infra_14_trace,118.4549331665039,Pass,423.95405197143555,50000052,17943987,2.7865,6536492,270477,0.3643,0.0151,4.1380%,5.4095,12840646,47.4741,256.8127,25000052,6335721,3.9459,3156210,119318,0.4982,0.0188,3.7804%,4.7727,4089974,34.2779,163.5986
infra,infra_12_trace,207.57365608215332,Pass,690.1849558353424,50000052,17593301,2.8420,7862103,55700,0.4469,0.0032,0.7085%,1.1140,3529701,63.3699,70.5939,25000052,8365796,2.9884,3927069,25822,0.4694,0.0031,0.6575%,1.0329,1724959,66.8019,68.9982
infra,infra_13_trace,139.63556957244873,Pass,541.4030282497406,50000052,20550069,2.4331,6532412,212475,0.3179,0.0103,3.2526%,4.2495,13758104,64.7516,275.1618,25000052,9731435,2.5690,3378036,88152,0.3471,0.0091,2.6096%,3.5261,5229704,59.3260,209.1877
infra,infra_3_trace,83.57435989379883,Pass,374.39678955078125,40000016,8060645,4.9624,5433078,42240,0.6740,0.0052,0.7775%,1.0560,1087880,25.7547,27.1970,20000016,3995670,5.0054,2737308,19441,0.6851,0.0049,0.7102%,0.9720,509759,26.2208,25.4879
infra,infra_7_trace,65.31903553009033,Pass,668.4646420478821,40000016,22117476,1.8085,6716982,62149,0.3037,0.0028,0.9253%,1.5537,8858641,142.5388,221.4659,20000016,11391353,1.7557,3345402,18515,0.2937,0.0016,0.5534%,0.9257,3908556,211.1021,195.4276
infra,infra_11_trace,209.36411476135254,Pass,635.5201749801636,50000052,18392502,2.7185,7754708,55731,0.4216,0.0030,0.7187%,1.1146,4000589,71.7839,80.0117,25000052,9236183,2.7068,3881908,25907,0.4203,0.0028,0.6674%,1.0363,2263327,87.3635,90.5329
infra,infra_10_trace,117.67702960968018,Pass,425.0097587108612,50000052,18427326,2.7134,6548159,267913,0.3554,0.0145,4.0914%,5.3583,13143071,49.0572,262.8611,25000052,6367346,3.9263,3150015,120152,0.4947,0.0189,3.8143%,4.8061,4115822,34.2551,164.6325
infra,infra_1_trace,175.13615703582764,Pass,554.260381937027,37799521,8210893,4.6036,4337669,14681,0.5283,0.0018,0.3385%,0.3884,616787,42.0126,16.3173,19799521,3735836,5.2999,2263258,4280,0.6058,0.0011,0.1891%,0.2162,137841,32.2058,6.9618
infra,infra_9_trace,141.69822597503662,Pass,580.908456325531,50000052,29232157,1.7104,7203244,231761,0.2464,0.0079,3.2175%,4.6352,19659229,84.8254,393.1842,25000052,17203770,1.4532,3405201,171987,0.1979,0.0100,5.0507%,6.8795,14584573,84.8004,583.3817
infra,infra_4_trace,84.87091732025146,Pass,430.74088168144226,40000016,23956467,1.6697,5988066,99641,0.2500,0.0042,1.6640%,2.4910,12279225,123.2347,306.9805,20000016,11987628,1.6684,2971304,50404,0.2479,0.0042,1.6964%,2.5202,6171571,122.4421,308.5783
int,int_24_trace,145.24023818969727,Pass,674.8304557800293,40000051,14591932,2.7412,8385203,23397,0.5746,0.0016,0.2790%,0.5849,2729759,116.6713,68.2439,20000051,6930363,2.8859,4599578,10047,0.6637,0.0014,0.2184%,0.5023,1208500,120.2847,60.4248
int,int_18_trace,108.31880569458008,Pass,596.1752121448517,39999864,11113178,3.5993,9457814,42621,0.8510,0.0038,0.4506%,1.0655,1905188,44.7007,47.6299,20999864,5325402,3.9433,4985263,19835,0.9361,0.0037,0.3979%,0.9445,811623,40.9187,38.6490
int,int_34_trace,112.3776216506958,Pass,325.4869565963745,40000052,11399652,3.5089,6380286,130935,0.5597,0.0115,2.0522%,3.2734,6079989,46.4352,151.9995,20000052,5062466,3.9507,3101677,68412,0.6127,0.0135,2.2056%,3.4206,2727454,39.8681,136.3723
int,int_23_trace,182.35865116119385,Pass,625.1239564418793,40000052,18489718,2.1634,5329093,138746,0.2882,0.0075,2.6036%,3.4686,6302810,45.4270,157.5700,20000052,8588399,2.3287,2669216,66645,0.3108,0.0078,2.4968%,3.3322,2672304,40.0976,133.6149
int,int_13_trace,32.30572509765625,Pass,453.513742685318,40000052,6235815,6.4146,4243961,36950,0.6806,0.0059,0.8706%,0.9237,1086658,29.4089,27.1664,20000052,3057938,6.5404,2111572,17300,0.6905,0.0057,0.8193%,0.8650,525058,30.3502,26.2528
int,int_7_trace,128.17397212982178,Pass,383.92040061950684,40000048,15072030,2.6539,5944145,245534,0.3944,0.0163,4.1307%,6.1383,5664112,23.0685,141.6026,20000048,6454887,3.0984,3000751,117748,0.4649,0.0182,3.9240%,5.8874,2611110,22.1754,130.5552
int,int_17_trace,128.60758018493652,Pass,568.7708864212036,39999987,17002199,2.3526,6659971,273466,0.3917,0.0161,4.1061%,6.8367,6255536,22.8750,156.3885,20999987,6901990,3.0426,3432362,129783,0.4973,0.0188,3.7812%,6.1801,2848563,21.9487,135.6459
int,int_9_trace,152.5840139389038,Pass,481.85723900794983,40000050,14630989,2.7339,5800876,206467,0.3965,0.0141,3.5592%,5.1617,4834746,23.4166,120.8685,20000050,6146111,3.2541,2893544,97350,0.4708,0.0158,3.3644%,4.8675,2228658,22.8933,111.4326
int,int_29_trace,181.88746547698975,Pass,355.166131734848,40000052,16150155,2.4768,4048870,508130,0.2507,0.0315,12.5499%,12.7032,12298146,24.2028,307.4533,20000052,7847017,2.5487,2031315,248635,0.2589,0.0317,12.2401%,12.4317,5953390,23.9443,297.6687
int,int_12_trace,204.59925079345703,Pass,981.3158118724823,59999603,18462694,3.2498,6357220,28527,0.3443,0.0015,0.4487%,0.4755,1059132,37.1274,17.6523,30999603,4990433,6.2118,4522132,27220,0.9062,0.0055,0.6019%,0.8781,971640,35.6958,31.3436
int,int_2_trace,94.08823490142822,Pass,340.90262365341187,30000052,18915303,1.5860,5366311,331465,0.2837,0.0175,6.1768%,11.0488,14933005,45.0515,497.7660,15000052,8846567,1.6956,2681980,163721,0.3032,0.0185,6.1045%,10.9147,6889532,42.0809,459.3005
int,int_33_trace,310.41816425323486,Fail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
